Date,Repo
2015-01,7.75
2015-02,7.75
2015-03,7.5
2015-04,7.5
2015-05,7.5
2015-06,7.25
2015-07,7.25
2015-08,7.25
2015-09,6.75
2015-10,6.75
2015-11,6.75
2015-12,6.75
2016-01,6.75
2016-02,6.75
2016-03,6.75
2016-04,6.5
2016-05,6.5
2016-06,6.5
2016-07,6.5
2016-08,6.5
2016-09,6.5
2016-10,6.25
2016-11,6.25
2016-12,6.25
2017-01,6.25
2017-02,6.25
2017-03,6.25
2017-04,6.25
2017-05,6.25
2017-06,6.25
2017-07,6.25
2017-08,6.0
2017-09,6.0
2017-10,6.0
2017-11,6.0
2017-12,6.0
2018-01,6.0
2018-02,6.0
2018-03,6.0
2018-04,6.0
2018-05,6.0
2018-06,6.25
2018-07,6.25
2018-08,6.5
2018-09,6.5
2018-10,6.5
2018-11,6.5
2018-12,6.5
2019-01,6.5
2019-02,6.25
2019-03,6.25
2019-04,6.0
2019-05,6.0
2019-06,5.75
2019-07,5.75
2019-08,5.4
2019-09,5.4
2019-10,5.4
2019-11,5.4
2019-12,5.4
2020-01,5.4
2020-02,5.15
2020-03,4.4
2020-04,4.4
2020-05,4.0
2020-06,4.0
2020-07,4.0
2020-08,4.0
2020-09,4.0
2020-10,4.0
2020-11,4.0
2020-12,4.0
2021-01,4.0
2021-02,4.0
2021-03,4.0
2021-04,4.0
2021-05,4.0
2021-06,4.0
2021-07,4.0
2021-08,4.0
2021-09,4.0
2021-10,4.0
2021-11,4.0
2021-12,4.0
2022-01,4.0
2022-02,4.0
2022-03,4.0
2022-04,4.0
2022-05,4.4
2022-06,4.9
2022-07,4.9
2022-08,5.4
2022-09,5.9
2022-10,5.9
2022-11,5.9
2022-12,6.25
2023-01,6.25
2023-02,6.5
2023-03,6.5
2023-04,6.5
2023-05,6.5
2023-06,6.5
2023-07,6.5
2023-08,6.5
2023-09,6.5
2023-10,6.5
2023-11,6.5
2023-12,6.5
2024-01,6.5
2024-02,6.5
2024-03,6.5
2024-04,6.5
2024-05,6.5
2024-06,6.5
2024-07,6.5
2024-08,6.5
2024-09,6.5
2024-10,6.5
2024-11,6.5
2024-12,6.5
2025-01,6.5
2025-02,6.25
2025-03,6.25
2025-04,6.0
2025-05,6.0
2025-06,5.5
2025-07,5.5
2025-08,5.5
2025-09,5.5
2025-10,5.5
2025-11,5.5
2025-12,5.25
